GROWTH_PLATFORM_NM,SVC_LINE_NM,PRACTICE_NM,SVC_AREA_NM,CAPACITY_GROUP_NM,JRS_NM,NEW_GROWTH_PLATFORM_NM,NEW_SVC_LINE_NM,NEW_PRACTICE_NM,ECONOMIC_MODEL_NM,NEW_SVC_AREA_NM,NEW_JRS_NM,PRACTICE_TYPE_NM,JRS_ACTION,COMMENTS
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect CMPA,Contract Management Specialist-Shared Services,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect CROSS SS,People Manager-Shared Services,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Human Resources,Executive Administrative Assistant-Human Resources,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Human Resources,Functional Manager-Human Resources,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Human Resources,Measurements & Reporting Analyst-Human Resources,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Human Resources,Recruitment Professional-Recruiting,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect IC&T,"Application Architect-Security, Risk & Compliance",Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect IC&T,Compliance Audit & Risk Assurer-Audit & Peer Review,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect IC&T,Compliance Audit & Risk Assurer-Customer Relationship,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect IC&T,Compliance Audit & Risk Assurer-Management Support,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect IC&T,Compliance Audit & Risk Assurer-Operational Process,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect IC&T,Compliance Tester-Compliance Testing & Remediation,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect IC&T,Security Professional-Data Security & Privacy,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect IC&T,"Security Professional-Security, Regulations, Risk & Compliance",Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect IC&T,"Technical Architect-Security, Risk & Compliance",Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Learning & Knowledge,Executive Administrative Assistant-Learning Delivery,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Learning & Knowledge,Functional Manager-Learning & Knowledge (L&K),Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Learning & Knowledge,Measurements & Reporting Analyst-Learning & Knowledge (L&K),Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Learning & Knowledge,Measurements & Reporting Analyst-Learning & Knowledge (L&K) Tools,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Business Operations Professional-Quality Performance,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Functional Manager-Delivery Excellence,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Functional Manager-Risk Management,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Functional Manager-Security Risk Analysis,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Measurements & Reporting Analyst-Delivery Excellence Tools,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Measurements & Reporting Analyst-Risk Management Tools,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,"Program Manager-Process, Methods, & Tools",Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Program Manager-Quality Programs,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Quality Consultant-Delivery Excellence,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Quality Consultant-Risk & Compliance,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Risk Mgmt & Delivery Excellence,Solution Architect-Delivery Excellence,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Strategy and Marketing,Functional Manager-Communication,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Strategy and Marketing,Functional Manager-Strategy & Market Development,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect Strategy and Marketing,Functional Manager-Value Creation,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Business Advisor-Workforce Management,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Measurements & Reporting Analyst-Workforce Management Tools,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Program Manager-Workforce Management,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Workforce Management Professional-Capacity Management,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Workforce Management Professional-Performance,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Workforce Management Professional-Staffing,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Workforce Management Professional-Contractor Services,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,M295 Specialty changes from 'Subcontractor Services' to 'Contractor Services
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Business Analyst-Business Analysis,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,M295 JR/S Add
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Business Design Consultant-Process Transformation,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,M295 JR/S Add
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Workforce Management Professional-Measurements & Reporting Analysis,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,M295 JR/S Add
Business Support,Shared Services,Shared Services,N/A - Indirect,Indirect WFM,Product Owner-Agile Methodologies & Practices,Business Support,Shared Services,Shared Services,?,,,Intact,Out of Scope,M295 JR/S Add
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Enterprise Architect-Application & Integration,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Enterprise Architect-Data & AI Transformation Architecture,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Enterprise Architect-Hybrid Cloud Management & Operations,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Enterprise Architect-Hybrid Multicloud Platforms,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Solution Architect-Cloud Advise,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Strategy Consultant-Cloud Platforms,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Strategy Consultant-Enterprise & Cloud End-to-end Architecture,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Strategy Consultant-Enterprise & Cloud Financial Analysis,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Strategy Consultant-Enterprise & Cloud Operating Model,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Advisory,CAM-Cloud Advisory M2,CAM - Cloud Advisory,Strategy Consultant-Enterprise & Cloud Transformation,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud Advisory,Strategy & Consulting,Cloud Advisory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,AMI - DBMS,Application Developer-Edge & Network Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,
,,,,,Application Architect-Alibaba Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-Alibaba Cloud,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Architect-Alibaba Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-Alibaba Cloud,Split,deletion/migration,Migrating to a new JR/S
,,,,,Application Architect-AWS Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-AWS Cloud,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Architect-AWS Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-AWS Cloud,Split,deletion/migration,Migrating to a new JR/S
,,,,,Application Architect-Azure Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-Azure Cloud,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Architect-Azure Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-Azure Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Architect-Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,To Be Deleted
,,,,,Application Architect-Google Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-Google Cloud,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Architect-Google Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-Google Cloud,Split,deletion/migration,Migrating to a new JR/S
,,,,,Application Architect-IBM Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-IBM Cloud,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Architect-IBM Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-IBM Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Architect-Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Architect-Red Hat Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,Application Architect-Red Hat Cloud,Split/New,deletion/migration,Migrating to a new JR/S
,,,,,Application Consultant-AWS Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-AWS Cloud,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Consultant-AWS Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-AWS Cloud,Split,deletion/migration,Migrating to a new JR/S
,,,,,Application Consultant-Azure Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-Azure Cloud,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Consultant-Azure Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-Azure Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Consultant-Business Functions,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Consultant-Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,To Be Deleted
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Consultant-Edge & Network Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,
,,,,,Application Consultant-Google Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-Google Cloud,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Consultant-Google Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-Google Cloud,Split,deletion/migration,Migrating to a new JR/S
,,,,,Application Consultant-IBM Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-IBM Cloud,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Consultant-IBM Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-IBM Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Consultant-Red Hat Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,Application Consultant-Red Hat Cloud,Split/New,deletion/migration,Migrating to a new JR/S
,,,,,Application Developer-Alibaba Cloud Fullstack,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-Alibaba Cloud Fullstack,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Developer-Alibaba Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-Alibaba Cloud Fullstack,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Developer-Alibaba Cloud User Interface,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-Alibaba Cloud Fullstack,Split,deletion/migration,Migrating to a new JR/S
,,,,,Application Developer-AWS Cloud Fullstack,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-AWS Cloud Fullstack,Split,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Developer-AWS Cloud Microservices,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-AWS Cloud Fullstack,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Cloud Application Development,CAM-Cloud Application Development MB,CAM - Application Development,Application Developer-AWS Cloud User Interface,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-AWS Cloud Fullstack,Split,deletion/migration,Migrating to a new JR/S
